sale_id,store_id,product_id,sale_date,quantity,total_amount
sale_1,19.0,46,2022-08-19,96,3024.78
sale_2,9.0,43,2021-03-15,100,4549.74
sale_3,3.0,20,2020-05-25,88,1477.8
sale_4,2.0,26,2022-06-25,30,231.85
sale_5,1.0,15,2021-06-15,83,2568.68
sale_6,14.0,3,2022-08-20,83,522.16
sale_7,8.0,14,2021-06-12,31,1301.42
sale_8,18.0,4,2021-12-01,95,680.5
sale_9,,37,2022-01-18,78,1698.47
sale_10,15.0,45,2022-02-07,34,385.49
sale_11,10.0,11,2021-01-06,100,4283.9
sale_12,1.0,35,,56,2017.73
,2.0,16,2022-01-29,70,3230.59
sale_14,4.0,48,2020-09-22,-1,0.0
sale_15,4.0,29,2020-11-28,52,809.9
sale_16,20.0,2,2022-03-02,73,3144.19
sale_17,6.0,1,2022-02-28,25,1047.87
sale_18,6.0,40,2021-03-14,41,1366.36
sale_19,20.0,49,2022-11-10,71,356.18
,5.0,12,2021-01-28,61,1075.45
,1.0,15,2020-10-27,28,1309.62
sale_22,16.0,14,2021-02-12,84,1848.9
sale_23,2.0,48,,84,1076.87
sale_24,11.0,7,2020-01-11,30,235.12
sale_25,4.0,13,2021-05-25,50,934.13
sale_26,14.0,1,,9,148.27
sale_27,4.0,26,2020-10-05,-4,0.0
sale_28,10.0,46,2022-12-25,87,2764.12
sale_29,6.0,30,2022-08-31,3,24.17
sale_30,18.0,11,2021-11-07,14,388.12
sale_31,3.0,19,2022-04-17,22,487.93
sale_32,14.0,1,2022-03-20,11,540.68
sale_33,13.0,50,2022-05-02,67,1882.4
sale_34,12.0,36,2021-10-24,29,560.8
sale_35,,34,2022-03-11,98,2600.47
sale_36,4.0,17,,73,2985.87
sale_37,12.0,28,2022-01-28,26,182.64
sale_38,9.0,42,,56,1668.19
,10.0,29,2020-07-17,81,2815.01
sale_40,2.0,11,,94,4293.04
sale_41,12.0,28,2022-05-13,23,278.7
sale_42,5.0,16,2021-02-03,74,1877.34
sale_43,4.0,17,2021-01-16,29,445.6
sale_44,6.0,44,2021-01-02,90,2686.04
sale_45,14.0,50,2022-11-22,17,702.14
sale_46,11.0,4,2020-04-06,56,2548.0
,14.0,35,2020-01-08,32,426.02
sale_48,2.0,4,,16,88.11
sale_49,3.0,10,2022-07-27,31,158.83
sale_50,19.0,29,2020-05-15,74,2529.28
sale_51,15.0,18,2022-07-17,35,1264.59
sale_52,17.0,21,2021-01-04,49,1244.01
sale_53,8.0,3,2020-07-08,51,775.19
sale_54,1.0,16,2022-02-28,99,3016.89
,5.0,37,2020-02-06,17,444.83
sale_56,1.0,15,,-2,0.0
sale_57,19.0,2,,15,78.65
sale_58,14.0,43,2022-03-01,99,568.25
sale_59,19.0,32,2020-12-08,12,212.68
sale_60,8.0,32,2021-12-19,63,1816.5
sale_61,18.0,46,2020-06-29,37,1695.67
,12.0,16,2022-12-26,8,393.21
sale_63,11.0,30,2020-04-23,14,350.41
,20.0,47,2022-03-06,13,387.63
sale_65,7.0,32,2021-05-01,93,2897.37
,9.0,3,,65,3002.72
sale_67,9.0,23,2022-10-20,69,1414.88
sale_68,18.0,19,2021-11-27,50,2388.6
sale_69,16.0,44,2022-04-16,20,316.42
sale_70,14.0,29,2020-01-28,69,3318.4
sale_71,6.0,17,2020-11-14,88,717.57
sale_72,4.0,23,2022-04-04,99,4419.16
sale_73,13.0,41,2020-06-09,81,934.74
sale_74,11.0,43,2021-07-01,78,3199.99
sale_75,15.0,30,2020-09-02,86,1046.41
sale_76,3.0,32,2022-07-24,84,4146.98
sale_77,5.0,49,2022-05-04,39,378.85
sale_78,3.0,8,2022-05-06,19,900.05
,,46,2022-05-08,38,595.62
sale_80,2.0,16,,22,907.58
sale_81,1.0,14,,-1,-50.0
sale_82,7.0,24,2021-05-29,98,979.46
sale_83,10.0,26,2020-12-26,7,261.82
,19.0,28,2020-07-20,50,1538.34
sale_85,15.0,9,2022-05-12,72,1023.95
sale_86,10.0,42,2022-05-16,80,2937.42
sale_87,6.0,18,,53,1729.68
,13.0,12,2022-01-03,12,87.71
sale_89,17.0,39,2020-10-25,85,1401.92
sale_90,4.0,23,,69,1286.36
sale_91,11.0,29,2021-12-11,22,824.64
sale_92,10.0,16,2020-09-02,38,824.83
sale_93,3.0,40,2022-02-17,82,479.18
sale_94,8.0,15,2021-12-12,70,2968.88
sale_95,,2,2022-05-02,28,672.06
sale_96,16.0,39,2020-05-18,9,101.16
,6.0,2,2020-02-01,38,916.41
sale_98,16.0,48,2021-10-01,72,1799.27
sale_99,5.0,25,2021-03-08,27,540.58
sale_100,20.0,5,,73,971.58
sale_101,19.0,46,,86,2849.33
sale_102,6.0,13,,94,3376.34
sale_103,3.0,46,2022-12-16,39,810.84
sale_104,8.0,17,2021-10-09,1,11.71
sale_105,1.0,34,2022-07-04,42,211.15
,2.0,11,2020-12-05,44,1887.57
sale_107,11.0,44,2020-02-29,66,1564.01
sale_108,15.0,12,2021-02-27,32,1062.67
sale_109,19.0,5,2021-11-18,4,113.49
sale_110,11.0,28,2020-05-31,24,1132.95
sale_111,2.0,10,2022-10-28,-1,-50.0
sale_112,17.0,15,2021-07-25,72,3130.03
sale_113,11.0,43,2022-01-10,86,2944.92
sale_114,15.0,42,,82,2520.38
sale_115,19.0,36,2022-08-30,29,548.7
,1.0,22,2020-11-21,11,227.95
sale_117,6.0,22,2021-09-26,60,887.88
sale_118,12.0,15,2022-03-11,61,1541.23
sale_119,12.0,27,2020-05-02,44,597.59
,,21,2020-11-18,65,3113.21
sale_121,7.0,22,2020-01-12,80,1483.16
,19.0,13,2020-10-01,55,1866.94
sale_123,15.0,15,,87,2099.96
sale_124,13.0,18,,96,2793.39
sale_125,5.0,30,2021-05-02,80,1133.2
sale_126,8.0,13,2020-04-22,50,754.68
sale_127,20.0,32,2022-04-05,88,3106.61
sale_128,15.0,27,2022-09-12,86,3777.41
sale_129,18.0,32,,85,3559.48
sale_130,3.0,31,2021-11-21,7,258.82
sale_131,19.0,39,2022-01-21,33,884.59
sale_132,5.0,5,2021-03-15,42,942.69
sale_133,1.0,47,2021-09-15,8,356.06
sale_134,17.0,50,2022-06-28,89,975.52
sale_135,7.0,50,2020-11-25,13,559.52
sale_136,9.0,33,2021-11-05,4,136.43
sale_137,19.0,13,2022-06-28,62,652.26
sale_138,2.0,9,2022-12-02,38,1020.06
sale_139,20.0,46,2022-08-16,41,375.12
sale_140,19.0,18,2021-07-18,69,1451.79
sale_141,15.0,40,2021-05-05,46,1469.64
sale_142,13.0,31,2022-05-04,44,2088.62
sale_143,15.0,21,2022-04-09,81,3815.43
sale_144,4.0,48,2021-12-31,2,67.27
sale_145,4.0,35,2021-07-31,13,338.8
sale_146,11.0,50,2020-12-05,69,3289.67
sale_147,4.0,1,2020-08-08,87,3535.3
sale_148,1.0,32,2022-06-12,7,209.15
sale_149,17.0,20,2020-06-12,28,258.63
sale_150,5.0,26,2020-12-04,55,947.9
sale_151,18.0,1,2022-02-07,65,2285.96
,13.0,3,2020-04-10,22,700.95
sale_153,20.0,3,2021-07-09,66,1880.37
sale_154,14.0,29,2021-04-12,100,3980.23
sale_155,10.0,29,2020-08-22,10,388.21
sale_156,20.0,10,2022-04-02,44,1056.39
sale_157,10.0,40,2021-10-24,43,809.72
sale_158,8.0,5,2021-03-16,86,1303.09
sale_159,3.0,2,2022-04-26,40,725.97
sale_160,8.0,32,2020-09-29,1,6.91
sale_161,,17,2021-06-30,75,2027.55
sale_162,2.0,15,2022-06-27,83,1922.84
sale_163,2.0,48,2022-04-28,47,950.63
sale_164,11.0,35,2020-03-16,7,73.81
sale_165,6.0,36,2022-08-28,0,-50.0
sale_166,20.0,43,,97,1944.59
,18.0,8,2022-06-12,98,920.73
,15.0,40,2022-07-29,-1,0.0
sale_169,5.0,50,2022-06-23,42,644.25
sale_170,17.0,31,2021-05-04,1,16.37
sale_171,1.0,22,2022-11-16,49,1054.56
