store_id,store_region,store_size,open_date
1.0,West,2263.0,
2.0,West,1510.0,2009-07-07
3.0,West,4989.0,2000-08-23
4.0,West,4942.0,2016-08-12
5.0,North,,2002-06-09
,East,3107.0,2007-03-28
7.0,North,,2005-07-19
8.0,West,691.0,
9.0,North,3653.0,2018-12-24
10.0,East,,2006-01-18
11.0,East,,2018-04-22
12.0,West,840.0,2000-03-22
13.0,West,,2009-10-03
14.0,North,1116.0,2003-06-30
,West,1968.0,2001-04-08
16.0,East,,2003-10-01
17.0,East,,2010-09-23
18.0,West,1191.0,2016-01-23
19.0,North,,2018-10-12
20.0,North,4867.0,2019-11-25
